column_name,num_files_present
river_id,59
river_drainage_area_sqmi,56
river_elevation_ft,56
date,55
river_latitude,55
river_longitude,55
river_name,54
nldi_comid,53
river_mainstem_length_km,53
site_alt_acy_va,53
site_alt_va,53
site_county_cd,53
site_dec_lat_va,53
site_dec_long_va,53
site_district_cd,53
site_drain_area_va,53
site_huc_cd,53
site_lat_va,53
site_long_va,53
site_site_no,53
site_state_cd,53
feature_window_end,52
feature_window_start,52
river_contrib_drainage_area_sqmi,52
river_gage_datum_ft,52
site_agency_cd,52
site_alt_datum_cd,52
site_alt_meth_cd,52
site_coord_acy_cd,52
site_coord_datum_cd,52
site_coord_meth_cd,52
site_country_cd,52
site_dec_coord_datum_cd,52
site_gw_file_cd,52
site_instruments_cd,52
site_local_time_fg,52
site_site_tp_cd,52
site_source,52
site_station_nm,52
site_tz_cd,52
usgs_00060_discharge_cubic_feet_per_second,52
weather_source,52
site_map_nm,40
weather_apparent_temperature_max,34
weather_apparent_temperature_mean,34
weather_apparent_temperature_min,34
weather_et0_fao_evapotranspiration,34
weather_precipitation_hours,34
weather_precipitation_sum,34
weather_rain_sum,34
weather_relative_humidity_2m_max,34
weather_relative_humidity_2m_mean,34
weather_relative_humidity_2m_min,34
weather_shortwave_radiation_sum,34
weather_snowfall_sum,34
weather_surface_pressure_mean,34
weather_temperature_2m_max,34
weather_temperature_2m_mean,34
weather_temperature_2m_min,34
weather_weather_code,34
weather_wind_direction_10m_dominant,34
weather_wind_gusts_10m_max,34
weather_wind_speed_10m_max,34
site_map_scale_fc,31
horizon_day,24
MAE,22
R2,22
RMSE,22
usgs_00010_temperature_water_degrees_celsius,20
site_inventory_dt,19
weather_apparent_temperature_max_x,19
weather_apparent_temperature_max_y,19
weather_apparent_temperature_mean_x,19
weather_apparent_temperature_mean_y,19
weather_apparent_temperature_min_x,19
weather_apparent_temperature_min_y,19
weather_et0_fao_evapotranspiration_x,19
weather_et0_fao_evapotranspiration_y,19
weather_precipitation_hours_x,19
weather_precipitation_hours_y,19
weather_precipitation_sum_x,19
weather_precipitation_sum_y,19
weather_rain_sum_x,19
weather_rain_sum_y,19
weather_relative_humidity_2m_max_x,19
weather_relative_humidity_2m_max_y,19
weather_relative_humidity_2m_mean_x,19
weather_relative_humidity_2m_mean_y,19
weather_relative_humidity_2m_min_x,19
weather_relative_humidity_2m_min_y,19
weather_shortwave_radiation_sum_x,19
weather_shortwave_radiation_sum_y,19
weather_snowfall_sum_x,19
weather_snowfall_sum_y,19
weather_surface_pressure_mean_x,19
weather_surface_pressure_mean_y,19
weather_temperature_2m_max_x,19
weather_temperature_2m_max_y,19
weather_temperature_2m_mean_x,19
weather_temperature_2m_mean_y,19
weather_temperature_2m_min_x,19
weather_temperature_2m_min_y,19
weather_weather_code_x,19
weather_weather_code_y,19
weather_wind_direction_10m_dominant_x,19
weather_wind_direction_10m_dominant_y,19
weather_wind_gusts_10m_max_x,19
weather_wind_gusts_10m_max_y,19
weather_wind_speed_10m_max_x,19
weather_wind_speed_10m_max_y,19
usgs_00095_specific_conductance_water_unfiltered_microsiemens_per_centimeter_at_25_degrees_celsius,18
f1,11
precision,11
recall,11
usgs_00010_temperature_water_degrees_celsius_x,10
usgs_00010_temperature_water_degrees_celsius_y,10
usgs_00300_dissolved_oxygen_water_unfiltered_milligrams_per_liter,10
usgs_00400_ph_water_unfiltered_field_standard_units,10
usgs_63680_turbidity_water_unfiltered_monochrome_near_infra_red_led_light_780_900_nm_detection_angle_90_2_5_degrees_formazin_nephelometric_units_fnu,10
usgs_00095_specific_conductance_water_unfiltered_microsiemens_per_centimeter_at_25_degrees_celsius_x,9
usgs_00095_specific_conductance_water_unfiltered_microsiemens_per_centimeter_at_25_degrees_celsius_y,9
site_project_no,8
capacity_q95,6
usgs_00045_precipitation_total_inches,6
usgs_00065_gage_height_feet,6
feature,5
importance,5
pred_flow,5
target_date,5
threshold,5
true_flow,5
usgs_00300_dissolved_oxygen_water_unfiltered_milligrams_per_liter_x,5
