file_name,status,row_count,col_count,river_id_col,river_id_value,river_name_col,river_name_value,date_col,min_date,max_date,unique_dates,duplicate_dates,has_discharge,discharge_col,discharge_missing,discharge_neg_count,discharge_zero_count,discharge_mean,discharge_max,has_rain,rain_col,rain_missing,rain_neg_count,rain_zero_count,rain_mean,rain_max,missing_ratio_mean,high_missing_cols_over_50pct,static_features_present,static_features_missing_ratio
01434000.csv,OK,4018,71,river_id,1434000,river_name,River 18,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,5583.459432553509,68800.0,True,weather_precipitation_sum,0.0,0.0,1872.0,3.2205823792931807,115.4,0.08658221103625234,7,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01435000.csv,OK,4018,90,river_id,1435000,river_name,River 19,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,211.4359880537581,4930.0,True,usgs_00045_precipitation_total_inches,3032.0,0.0,567.0,0.15780933062880323,3.5,0.29588241800785353,28,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01439500.csv,OK,4018,68,river_id,1439500,river_name,River 2,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,258.13700846192137,3710.0,True,weather_precipitation_sum,0.0,0.0,1905.0,3.3521154803384765,85.1,0.093791175006588,9,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01440400.csv,OK,4018,84,river_id,1440400,river_name,River 20,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,1.0,0.0,0.0,150.29635548917105,2820.0,False,,,,,,,0.2866298087179122,25,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01451800.csv,OK,4018,87,river_id,1451800,river_name,River 3,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,104.94186908909906,2930.0,False,,,,,,,0.2766859477180275,25,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01463500.csv,OK,4018,90,river_id,1463500,river_name,River 9,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,12742.481333997013,138000.0,True,weather_precipitation_sum,0.0,0.0,1961.0,3.4088103534096565,112.4,0.09707427686521763,9,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01464500.csv,OK,4018,72,river_id,1464500,river_name,River 21,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,124.75754106520657,3470.0,True,weather_precipitation_sum,0.0,0.0,1955.0,3.3057740169238428,77.3,0.08790650406504066,9,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01466500.csv,OK,4018,89,river_id,1466500,river_name,River 4,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,1.83086112493778,10.3,False,,,,,,,0.2750907433403616,25,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01470500.csv,OK,4018,83,river_id,1470500,river_name,River 22,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,756.2885515181682,13600.0,False,,,,,,,0.27710843373493976,23,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
01474000.csv,OK,4018,80,river_id,1474000,river_name,River 23,date,2014-01-01,2024-12-31,4018.0,0.0,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,0.0,118.45440517670484,7260.0,True,weather_precipitation_sum,0.0,0.0,1976.0,3.3503484320557493,85.7,0.2095165505226481,18,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
