horizon_day,MAE,RMSE,R2
1,518.7170707814687,2324.9364091880993,0.8962484765569458
2,882.0606636223025,3763.897058504315,0.7281268316921269
3,1128.6344575384842,4577.759485956969,0.5978850209132933
4,1303.2565537305736,5077.931879835653,0.5052605326686395
5,1418.068689695809,5382.425939341765,0.44418579585492546
6,1482.493536127274,5533.59621892049,0.4125763424133124
7,1525.6044383884512,5616.982099735911,0.39478793822121516
8,1564.4035979966118,5700.236103881788,0.3767758517909682
9,1596.2971724239524,5768.112504392114,0.3619634920577832
10,1617.758159387199,5827.9608347486055,0.3490213390151149
