feature,importance
rain_3d,0.15753352024447595
rain_7d,0.1508298645609755
flow_3d_avg,0.13381720822022672
rain_per_area,0.11511202447542225
rain_14d,0.09867402943406271
flow_7d_avg,0.06423741297797095
flow_lag1,0.06314263780677412
flow_14d_avg,0.03919967123225489
river_drainage_area_sqmi,0.038977964572565436
flow_lag2,0.03358141301809604
river_latitude,0.02524839706347303
flow_lag3,0.024290824699981332
rain_flow_ratio,0.02370905578211323
river_elevation_ft,0.018955305310650913
river_longitude,0.01269067060095679
flow,0.0
flow_diff,0.0
flow_acc,0.0
dry_streak,0.0
rain,0.0
rain_flow_interaction,0.0
doy_cos,0.0
doy_sin,0.0
month_cos,0.0
month_sin,0.0
