horizon_day,precision,recall,f1,support_flood,support_normal
1,0.6796116504854369,0.8045977011494253,0.7368421052631579,87,1079
2,0.6886792452830188,0.8111111111111111,0.7448979591836735,90,1076
3,0.6274509803921569,0.8205128205128205,0.7111111111111111,78,1088
4,0.6629213483146067,0.8194444444444444,0.7329192546583851,72,1108
5,0.7272727272727273,0.7901234567901234,0.757396449704142,81,1099
6,0.6759259259259259,0.8021978021978022,0.7336683417085427,91,1091
7,0.6756756756756757,0.8152173913043478,0.7389162561576355,92,1089
8,0.6190476190476191,0.8333333333333334,0.7103825136612022,78,1103
9,0.6629213483146067,0.8194444444444444,0.7329192546583851,72,1123
10,0.7272727272727273,0.7901234567901234,0.757396449704142,81,1114
