feature,importance
flow_short_vs_long,0.213110763839851
rain_7d,0.12505480333117575
rain_3d,0.105762160226617
flow_3d_avg,0.09855688454362672
rain_per_area,0.08195875966904699
rain_14d,0.07436728437161451
flow_lag1,0.04859473065326592
flow_7d_avg,0.04743088461631715
flow_14d_avg,0.03957742598973522
river_drainage_area_sqmi,0.03320136947655796
flow_lag2,0.0312117902945718
flow_lag3,0.0255343751313327
river_latitude,0.02493949813625412
rain_flow_ratio,0.02478759854740383
river_elevation_ft,0.015286492260157544
river_longitude,0.010625178912471892
