feature,importance
flow,1750
rain,1077
doy_sin,1030
weather_et0_fao_evapotranspiration,978
weather_relative_humidity_2m_mean,946
weather_temperature_2m_max,758
doy_cos,714
river_drainage_area_sqmi,622
weather_surface_pressure_mean,615
weather_wind_gusts_10m_max,496
weather_temperature_2m_min,461
weather_precipitation_hours,456
rain_14d,455
weather_temperature_2m_mean,454
rain_lag1,453
weather_wind_speed_10m_max,445
flow_diff,428
rain_lag7,352
rain_lag12,342
river_latitude,339
flow_acc,324
rain_7d,316
rain_lag9,311
river_longitude,293
rain_per_area,290
rain_lag4,290
rain_lag5,285
rain_3d,280
rain_lag13,268
rain_lag10,266
rain_lag6,256
rain_lag2,256
rain_lag8,255
flow_lag1,253
rain_lag3,252
rain_lag11,241
river_elevation_ft,232
rain_lag14,219
rain_flow_ratio,206
flow_lag2,195
rain_flow_interaction,188
flow_lag14,186
flow_lag5,180
flow_lag3,175
flow_lag9,167
flow_lag6,150
flow_lag12,149
flow_lag4,147
flow_lag8,144
flow_14d_avg,139
month_sin,129
flow_lag10,128
flow_lag13,126
flow_lag7,124
flow_lag11,122
flow_7d_avg,95
flow_3d_avg,82
month_cos,81
dry_streak,29
