horizon_day,MAE,RMSE,R2,n_test
1,370.3228795734755,1829.7064351149313,0.9357408234495522,13577
2,639.2303822723824,2928.183116453639,0.8354539965037622,13577
3,829.9074291988503,3608.034751429683,0.7502038546189463,13577
4,979.1866247636444,4032.2136658404775,0.6880464800177823,13577
5,1064.5229905187532,4275.47928195248,0.6492940547190125,13577
6,1118.0271884984395,4399.97243027153,0.6286046928995348,13577
7,1163.4868435311766,4488.725625056132,0.6135016762221578,13577
8,1195.2303342409766,4551.7934198326975,0.602603835685442,13577
9,1220.2247038149262,4591.552285625206,0.5957061335526983,13577
10,1239.5167294427135,4644.433711323512,0.5865728049020106,13577
