horizon_day,MAE_direct,RMSE_direct,R2_direct,n_test,MAE_recursive,RMSE_recursive,R2_recursive
1,370.3228795734755,1829.7064351149313,0.9357408234495522,13577,370.2933156729984,1829.6683039342327,0.9357435017510476
2,639.2303822723824,2928.183116453639,0.8354539965037622,13577,612.3212925394653,2951.0956003484366,0.8328688384771387
3,829.9074291988503,3608.034751429683,0.7502038546189463,13577,807.6294775043708,3731.4511157495426,0.7328225369984358
4,979.1866247636444,4032.2136658404775,0.6880464800177823,13577,959.1551674169089,4215.654827800065,0.6590168609797402
5,1064.5229905187532,4275.47928195248,0.6492940547190125,13577,1088.0825782587247,4560.731332240515,0.6009360526807949
6,1118.0271884984395,4399.97243027153,0.6286046928995348,13577,1185.2011546326773,4804.778590779823,0.5571228632494435
7,1163.4868435311766,4488.725625056132,0.6135016762221578,13577,1264.4684604954161,4970.282298968204,0.5261252071719673
8,1195.2303342409766,4551.7934198326975,0.602603835685442,13577,1334.9004878730193,5110.950436235783,0.49897208622817224
9,1220.2247038149262,4591.552285625206,0.5957061335526983,13577,1394.0839506350187,5223.570000058751,0.47674555977667377
10,1239.5167294427135,4644.433711323512,0.5865728049020106,13577,1441.937789238843,5333.629849244547,0.4547706214898508
