horizon_day,MAE,RMSE,R2
1,370.2933156729984,1829.6683039342327,0.9357435017510476
2,612.3212925394653,2951.0956003484366,0.8328688384771387
3,807.6294775043708,3731.4511157495426,0.7328225369984358
4,959.1551674169089,4215.654827800065,0.6590168609797402
5,1088.0825782587247,4560.731332240515,0.6009360526807949
6,1185.2011546326773,4804.778590779823,0.5571228632494435
7,1264.4684604954161,4970.282298968204,0.5261252071719673
8,1334.9004878730193,5110.950436235783,0.49897208622817224
9,1394.0839506350187,5223.570000058751,0.47674555977667377
10,1441.937789238843,5333.629849244547,0.4547706214898508
