horizon_day,MAE,RMSE,R2
1,766.8419189453125,3253.6507188080286,0.8027578592300415
2,803.404541015625,3364.2236845964926,0.7758543491363525
3,936.6287231445312,4107.606602390253,0.6732587814331055
4,1010.0228271484375,4153.829799113103,0.6642323732376099
5,1134.1160888671875,5062.030817764744,0.5648563504219055
6,1130.9942626953125,4794.261361252638,0.5721144676208496
7,1152.912353515625,4348.598624844561,0.6257649064064026
8,1200.464599609375,4479.693293072641,0.6115777492523193
9,1254.9554443359375,4563.00931403827,0.5950405597686768
10,1344.1490478515625,5256.662629463679,0.5309464931488037
