horizon_day,MAE,RMSE,R2
1,823.7236328125,3107.185543220746,0.8100712299346924
2,999.4537963867188,4214.318212949753,0.6950603723526001
3,1048.57421875,3995.96759246118,0.6994679570198059
4,1089.0316162109375,3831.993867427243,0.7062105536460876
5,1156.2017822265625,4145.760243911845,0.6636644601821899
6,1254.5899658203125,4255.608534628156,0.6439012885093689
7,1266.5787353515625,4994.0294352356395,0.5719459056854248
8,1221.875,4571.125463165499,0.6069308519363403
9,1243.616943359375,4244.495965365028,0.6399210691452026
10,1296.0245361328125,4491.621756114377,0.6063518524169922
