horizon_day,MAE_direct,RMSE_direct,R2_direct,MAE_recursive,RMSE_recursive,R2_recursive
1,823.7236328125,3107.185543220746,0.8100712299346924,520.3787231445312,1966.6998372908865,0.9239091277122498
2,999.4537963867188,4214.318212949753,0.6950603723526001,777.7841796875,3729.030034740938,0.7612457871437073
3,1048.57421875,3995.96759246118,0.6994679570198059,891.0830688476562,3613.892223074728,0.7541912794113159
4,1089.0316162109375,3831.993867427243,0.7062105536460876,1058.0318603515625,3806.3923864993217,0.7101230621337891
5,1156.2017822265625,4145.760243911845,0.6636644601821899,1230.2127685546875,4480.734091641681,0.6071174740791321
6,1254.5899658203125,4255.608534628156,0.6439012885093689,1380.26416015625,4853.246542264261,0.5368605852127075
7,1266.5787353515625,4994.0294352356395,0.5719459056854248,1567.7529296875,5765.537095535853,0.42947328090667725
8,1221.875,4571.125463165499,0.6069308519363403,1589.27099609375,5547.393982763438,0.4211037755012512
9,1243.616943359375,4244.495965365028,0.6399210691452026,1672.9730224609375,5512.312219023883,0.39268630743026733
10,1296.0245361328125,4491.621756114377,0.6063518524169922,1806.023681640625,5971.125187098324,0.304312527179718
