horizon_day,MAE_direct,RMSE_direct,R2_direct,MAE_recursive,RMSE_recursive,R2_recursive
1,766.8419189453125,3253.6507188080286,0.8027578592300415,447.6939697265625,1420.11007495898,0.9624247550964355
2,803.404541015625,3364.2236845964926,0.7758543491363525,686.7749633789062,2604.506191200167,0.8656581044197083
3,936.6287231445312,4107.606602390253,0.6732587814331055,947.406005859375,3552.9131709063763,0.7555469274520874
4,1010.0228271484375,4153.829799113103,0.6642323732376099,1139.1473388671875,4198.025250043168,0.6570494174957275
5,1134.1160888671875,5062.030817764744,0.5648563504219055,1361.1671142578125,5373.094080695033,0.5097337961196899
6,1130.9942626953125,4794.261361252638,0.5721144676208496,1395.0167236328125,5260.247712798324,0.4848940968513489
7,1152.912353515625,4348.598624844561,0.6257649064064026,1500.2091064453125,5208.843441686456,0.46305662393569946
8,1200.464599609375,4479.693293072641,0.6115777492523193,1577.6146240234375,5375.202693852577,0.4407613277435303
9,1254.9554443359375,4563.00931403827,0.5950405597686768,1716.927734375,5572.2447900285215,0.3960942029953003
10,1344.1490478515625,5256.662629463679,0.5309464931488037,1845.462890625,6305.181995787275,0.3251652121543884
