horizon_day,MAE,RMSE,R2
1,447.6939697265625,1420.11007495898,0.9624247550964355
2,686.7749633789062,2604.506191200167,0.8656581044197083
3,947.406005859375,3552.9131709063763,0.7555469274520874
4,1139.1473388671875,4198.025250043168,0.6570494174957275
5,1361.1671142578125,5373.094080695033,0.5097337961196899
6,1395.0167236328125,5260.247712798324,0.4848940968513489
7,1500.2091064453125,5208.843441686456,0.46305662393569946
8,1577.6146240234375,5375.202693852577,0.4407613277435303
9,1716.927734375,5572.2447900285215,0.3960942029953003
10,1845.462890625,6305.181995787275,0.3251652121543884
