horizon_day,MAE,RMSE,R2
1,520.3787231445312,1966.6998372908865,0.9239091277122498
2,777.7841796875,3729.030034740938,0.7612457871437073
3,891.0830688476562,3613.892223074728,0.7541912794113159
4,1058.0318603515625,3806.3923864993217,0.7101230621337891
5,1230.2127685546875,4480.734091641681,0.6071174740791321
6,1380.26416015625,4853.246542264261,0.5368605852127075
7,1567.7529296875,5765.537095535853,0.42947328090667725
8,1589.27099609375,5547.393982763438,0.4211037755012512
9,1672.9730224609375,5512.312219023883,0.39268630743026733
10,1806.023681640625,5971.125187098324,0.304312527179718
