horizon_day,MAE,RMSE,R2
1,1231.1512451171875,3262.888291069739,0.792190432548523
2,1324.8704833984375,4172.185758088918,0.704123854637146
3,1446.1046142578125,3850.045454277131,0.7237317562103271
4,1688.147216796875,3819.5313848690917,0.7107188701629639
5,1631.1949462890625,4238.343072475374,0.6519256830215454
6,1657.9627685546875,4540.693999819851,0.5989567041397095
7,1704.2283935546875,5265.017378888697,0.5300365686416626
8,1727.2645263671875,4815.792977277989,0.5691609382629395
9,1766.2076416015625,4485.227307506276,0.602755069732666
10,1863.3143310546875,4658.24666586045,0.5810174345970154
