horizon_day,MAE_direct,RMSE_direct,R2_direct,MAE_recursive,RMSE_recursive,R2_recursive
1,1231.1512451171875,3262.888291069739,0.792190432548523,824.82861328125,2145.647687762369,0.9101375937461853
2,1324.8704833984375,4172.185758088918,0.704123854637146,1049.3193359375,3549.0131022581477,0.7859092950820923
3,1446.1046142578125,3850.045454277131,0.7237317562103271,1153.753173828125,3332.1511070178076,0.7930580377578735
4,1688.147216796875,3819.5313848690917,0.7107188701629639,1308.3602294921875,3738.6572455896517,0.7228395938873291
5,1631.1949462890625,4238.343072475374,0.6519256830215454,1486.0140380859375,4477.2254801383415,0.6115834712982178
6,1657.9627685546875,4540.693999819851,0.5989567041397095,1659.96630859375,5033.412162738116,0.5071988105773926
7,1704.2283935546875,5265.017378888697,0.5300365686416626,1815.6207275390625,5846.448494599093,0.4205063581466675
8,1727.2645263671875,4815.792977277989,0.5691609382629395,1841.419921875,5624.850220228091,0.41223812103271484
9,1766.2076416015625,4485.227307506276,0.602755069732666,1962.7218017578125,5850.211620104012,0.32417750358581543
10,1863.3143310546875,4658.24666586045,0.5810174345970154,2110.169189453125,6446.344700681154,0.19762378931045532
