horizon_day,MAE,RMSE,R2
1,824.82861328125,2145.647687762369,0.9101375937461853
2,1049.3193359375,3549.0131022581477,0.7859092950820923
3,1153.753173828125,3332.1511070178076,0.7930580377578735
4,1308.3602294921875,3738.6572455896517,0.7228395938873291
5,1486.0140380859375,4477.2254801383415,0.6115834712982178
6,1659.96630859375,5033.412162738116,0.5071988105773926
7,1815.6207275390625,5846.448494599093,0.4205063581466675
8,1841.419921875,5624.850220228091,0.41223812103271484
9,1962.7218017578125,5850.211620104012,0.32417750358581543
10,2110.169189453125,6446.344700681154,0.19762378931045532
