horizon_day,MAE,RMSE,R2
1,488.7569885253906,2108.0536046315333,0.9179727435112
2,451.50946044921875,1620.2416486438065,0.9497148990631104
3,491.33148193359375,1747.1817306737155,0.9383547902107239
4,451.42523193359375,1504.250893302045,0.95409095287323
5,483.1797790527344,1729.9132203668482,0.9368661642074585
6,514.0028686523438,2195.7056952150942,0.9131643176078796
7,463.7862854003906,1648.737395706181,0.948686957359314
8,497.65435791015625,1758.0396042182895,0.9380435943603516
9,455.6448669433594,1513.62677037637,0.9536728262901306
10,485.6664733886719,1733.2807764467937,0.93672114610672
