horizon_day,MAE,RMSE,R2,n_test
1,578.4499190236744,1984.1242633303368,0.9244368487907868,13577
2,1035.9502713102918,3313.394044233185,0.7893133349785773,13577
3,1284.3155903603697,3936.0628617520056,0.7027181736996975,13577
4,1415.167919979508,4257.165080513584,0.6522686885854386,13577
5,1490.0039482627462,4442.895560365551,0.6212909143997832,13577
6,1535.8505811646612,4539.718900995927,0.6046384545762764,13577
7,1574.37528672088,4596.508260755168,0.5947177485748376,13577
8,1603.6338934425237,4644.402452244883,0.5862687979092353,13577
9,1619.7109529643603,4679.527686289343,0.5800649481088829,13577
10,1630.2387169603403,4705.468883121981,0.5756352370198986,13577
