horizon_day,MAE_direct,RMSE_direct,R2_direct,n_test,MAE_recursive,RMSE_recursive,R2_recursive
1,578.4499190236744,1984.1242633303368,0.9244368487907868,13577,546.7474560211898,2007.293507146692,0.9226617956009694
2,1035.9502713102918,3313.394044233185,0.7893133349785773,13577,1005.8512132358953,3399.079212319193,0.7782756220260385
3,1284.3155903603697,3936.0628617520056,0.7027181736996975,13577,1319.4124946344452,4094.156516498084,0.678357675935229
4,1415.167919979508,4257.165080513584,0.6522686885854386,13577,1545.3042205426832,4492.800354822694,0.612709310279796
5,1490.0039482627462,4442.895560365551,0.6212909143997832,13577,1712.4067335094812,4750.020132933602,0.5671230943469117
6,1535.8505811646612,4539.718900995927,0.6046384545762764,13577,1832.9344039853192,4907.333711277699,0.5380152014392918
7,1574.37528672088,4596.508260755168,0.5947177485748376,13577,1920.9041129053046,5002.798531250695,0.5199046247131127
8,1603.6338934425237,4644.402452244883,0.5862687979092353,13577,1992.5765578383305,4996.537782467345,0.5211528188417927
9,1619.7109529643603,4679.527686289343,0.5800649481088829,13577,2071.8982266596063,4984.503615219405,0.5235449712775799
10,1630.2387169603403,4705.468883121981,0.5756352370198986,13577,2147.8051088984075,5004.841793595768,0.519919339835961
