horizon_day,precision,recall,f1,support_flood,support_normal
1,0.24946236559139784,0.5201793721973094,0.3372093023255814,223,4677
2,0.2188235294117647,0.39574468085106385,0.2818181818181818,235,4665
3,0.22319474835886213,0.45132743362831856,0.2986822840409956,226,4674
4,0.24839400428265523,0.48739495798319327,0.32907801418439714,238,4662
5,0.2290748898678414,0.44635193133047213,0.3027656477438137,233,4667
6,0.2472885032537961,0.5112107623318386,0.3333333333333333,223,4676
7,0.20714285714285716,0.3782608695652174,0.2676923076923077,230,4669
8,0.22123893805309736,0.44642857142857145,0.2958579881656805,224,4675
9,0.24622030237580994,0.4830508474576271,0.3261802575107296,236,4662
10,0.2290748898678414,0.4482758620689655,0.3032069970845481,232,4666
