feature,importance
rain_7d,0.13961376480267274
rain_3d,0.13566796717379415
flow_3d_avg,0.13077219746458468
rain_per_area,0.11152264333463847
rain_14d,0.09840846976925399
flow_7d_avg,0.0679208211049604
flow_lag1,0.06364670187220348
flow_14d_avg,0.0460107562198024
flow_lag2,0.04016876837626698
river_drainage_area_sqmi,0.03826329494149817
rain_flow_ratio,0.03606857043058621
flow_lag3,0.03251386149965187
river_latitude,0.02463213140952299
river_elevation_ft,0.02017884912430004
river_longitude,0.014611202476263468
flow,0.0
flow_diff,0.0
flow_acc,0.0
dry_streak,0.0
rain,0.0
rain_flow_interaction,0.0
doy_cos,0.0
doy_sin,0.0
month_cos,0.0
month_sin,0.0
