horizon_day,MAE,RMSE,R2
1,356.9098915562197,1628.2332754018055,0.9447265838370715
2,632.2674769222264,2696.8047246720657,0.849169782108699
3,847.4725554672699,3340.7982148164792,0.7692449046487928
4,1013.5785591119063,3792.9531859687186,0.7029554439605892
5,1119.5169067025479,4094.3292464118063,0.6540566980289232
6,1185.2194405356843,4258.896029957752,0.6257777227984822
7,1235.5089680806998,4318.8299649618875,0.6152569398207406
8,1264.2202165267533,4367.715345447359,0.6066259546255064
9,1296.9929840069883,4440.573360898857,0.59357280680244
10,1313.2741762897263,4481.265084413351,0.586252487123355
